Name,1 Minute,5 Minute,15 Minute,30 Minute,1 Hour,4 Hour,Session Total
Bad Bunnies NFT,0,0,0,0,0,5,5
Habbo Avatars,0,2,2,4,8,22,22
AnimalsPunks V2,0,0,0,0,0,3,3
Stoner Cats,0,0,0,0,0,4,4
CyberKongz,0,0,0,0,0,6,6
lobsterdao,0,0,0,0,0,3,3
Deez Nuts,0,0,0,0,1,7,7
Jungle Freaks,0,0,0,3,11,18,18
Bettys NFT,0,0,0,0,0,1,1
Lost Poets,0,0,0,1,1,6,6
Capsule,0,0,2,2,5,20,20
Gambling Apes,0,0,1,3,7,13,13
BASTARD GAN PUNKS V2,0,0,0,0,0,4,4
MutantApeYachtClub,0,0,0,4,7,22,22
The Evolving Forest,0,0,1,2,2,7,7
VOX Series 1,0,0,0,2,4,7,7
NiftyDegen,0,0,0,1,2,6,6
Loopy Donuts,0,0,0,0,0,2,2
Boss Beauties,0,0,1,2,2,10,10
FastFoodFrens,0,0,0,0,0,3,3
ZombieToadz,0,0,0,0,0,4,4
HalloweenBears,0,0,1,3,5,11,11
FLUF,0,0,0,0,2,8,8
RumbleKongLeague,0,0,0,3,4,10,10
World Of Women,0,0,0,1,1,5,5
BullsOnTheBlock,0,0,0,0,1,4,4
Doge Pound Puppies,1,1,2,2,2,11,11
Genesis Mana,0,0,1,2,3,6,6
SHIBOSHIS,0,0,1,1,5,16,16
Lazy Lions,0,0,0,0,0,2,2
Purrnelopes Country Club,0,1,2,4,5,9,9
PudgyPenguins,0,0,0,0,0,3,3
Wicked Apes,0,0,0,0,2,6,6
Wanderers,0,0,0,0,3,12,12
Creature World,0,0,0,1,1,15,15
Loot,0,0,0,0,0,2,2
GEN.ART,0,0,1,2,3,7,7
Sipher INU,0,0,1,2,3,8,8
MightyBabyDragons,0,0,0,0,0,1,1
Galactic Apes,0,0,5,6,8,21,21
CryptoArte,0,0,0,0,0,4,4
MutantCats,0,0,0,0,0,3,3
Gutter Passes,0,0,0,0,0,1,1
CryptoDads,0,0,1,3,3,6,6
Yakuza Cats Society,0,1,1,1,2,7,7
Meebits,0,0,0,0,1,5,5
Fast Food Nouns,0,0,0,0,0,1,1
Voxies,0,0,0,0,0,3,3
Void Attractors,0,0,0,1,1,2,2
Groupies,0,0,1,1,1,4,4
Crypto Tapes,0,0,0,0,0,1,1
Animetas,0,0,0,0,0,3,3
Ether Cards Founder,0,0,0,0,1,2,2
StackedToadz,0,0,0,1,1,2,2
Art Blocks,0,0,0,1,2,5,5
DeadFellaz,0,1,1,1,1,5,5
ArtAI,0,2,2,3,5,13,13
CryptoPolz,0,0,0,0,0,5,5
Club721 Membership,0,0,0,0,0,3,3
PUNKS Comic,0,0,0,1,2,4,4
Metasaurs,0,0,0,0,1,3,3
CryptoZoo Base Egg,0,0,0,0,0,4,4
Fang Gang,0,0,0,1,1,9,9
Land DAO Genesis,0,0,0,0,0,1,1
MekaVerse,0,0,0,1,4,18,18
HIDDEN IN NOISE,0,0,0,0,0,2,2
VeeFriends,0,0,0,1,1,5,5
ZED Horse,0,0,1,3,6,14,14
Sappy Seals,0,1,1,1,1,3,3
Superlative Secret Society,0,0,0,0,0,3,3
Chibi Apes,0,0,0,0,0,2,2
G’EVOLs,0,0,0,0,0,4,4
Cool Cats,0,0,0,0,1,3,3
The Humanoids ,0,0,2,2,2,11,11
MonkeyBet,0,0,0,0,1,8,8
Acclimated​MoonCats,0,0,0,0,1,5,5
Dreamers,0,0,0,0,0,1,1
Adam Bomb Squad,0,0,1,1,2,6,6
Robotos,0,0,0,0,2,3,3
ForgottenRunesWizardsCult,0,3,3,3,3,6,6
KaijuKingz,0,0,0,0,2,7,7
OGCR,0,0,0,0,0,1,1
Chicken Derby,0,0,0,0,0,1,1
CryptoHoots Steampunk Parliament,0,0,0,0,0,2,2
Video Game Dev Squad,0,0,0,1,1,3,3
BoredApeYachtClub,0,0,1,1,1,4,4
Chill Frogs,0,0,1,1,1,9,9
BYOPills,0,2,2,4,7,14,14
Wicked Hounds,0,0,0,0,0,1,1
GalaxyEggs,0,0,0,0,0,2,2
Hashmasks,0,0,0,0,0,1,1
TheCurrency,0,0,0,0,0,3,3
Sneaky Vampire Syndicate,0,0,2,2,3,6,6
TopDogBeachClub,0,0,0,0,0,5,5
Unidentified contract,0,0,0,0,0,3,3
SupDucks,0,1,1,1,2,7,7
CryptoTyans 2.0,0,0,0,0,0,1,1
WinterBears,0,0,0,0,0,1,1
CyberKongz VX,0,0,0,0,0,1,1
Potato Bros,0,0,0,0,0,2,2
Satoshibles,0,0,0,1,1,2,2
Sandbox's LANDs,0,0,0,2,3,5,5
MARBLE-NFT,0,2,3,4,4,9,9
Hashroom,0,0,0,0,0,1,1
HeavenComputer,0,0,0,0,0,1,1
The Surreals,0,0,0,0,1,4,4
MarsCatsVoyage,0,0,0,0,2,4,4
Woodie,0,0,1,1,1,2,2
0N1 Force,0,0,0,0,1,2,2
Tropical Turtles,0,0,0,0,0,1,1
Treeverse,0,0,0,1,2,7,7
n,0,0,0,1,3,6,6
Otomotors,0,0,0,0,0,1,1
Word Art,0,0,0,0,0,1,1
DeadHeads,0,0,0,0,0,2,2
The Order Modern Man,0,0,0,0,0,1,1
Gutter Birds,0,0,0,0,0,3,3
KIA,0,0,0,0,0,1,1
Cupcat NFT,0,0,0,0,1,4,4
Crypto Cannabis Club,0,0,0,0,0,2,2
Extension Loot,0,0,0,0,0,1,1
The Heart Project,0,0,0,0,0,1,1
Loneley Aliens Space Club,0,0,0,0,0,1,1
BoredApeKennelClub,0,0,0,0,1,2,2
Artvatars,0,0,0,0,0,1,1
The Doge Pound,0,0,0,0,0,2,2
SLOTH IN CLOTHES,0,0,0,0,0,1,1
Neon District Season One Item,0,0,0,0,0,1,1
Cryptoadz,1,1,3,3,4,5,5
MyCryptoHeroes:Extension,0,0,0,0,1,1,1
APE DAO REMIX!,0,0,0,0,2,2,2
Crypto Prophecies Item,0,0,0,0,1,1,1
Doodles,0,1,1,1,3,3,3
Kohi,0,0,0,0,1,1,1
MetaHero,0,0,0,0,1,1,1
MultiPass,0,1,1,1,2,2,2
Pixel Vault Founder's DAO,0,0,0,1,2,2,2
GalaxyFightClub,0,0,1,1,3,3,3
Decentraland,0,0,0,0,1,1,1
Giraffe Gang,0,0,0,0,1,1,1
CryptoSharks,0,0,0,0,1,1,1
Otaku Coin World Replica,0,0,0,0,1,1,1
CoolPetCats,0,0,0,0,1,1,1
Tom Sachs Rocket Components,0,0,0,0,1,1,1
Party Ape Billionaire Club,0,0,1,2,3,3,3
CryptoChillouts,0,0,0,0,1,1,1
PunkScape,0,0,0,1,1,1,1
Polygonscape,0,0,0,1,1,1,1
Animal Coloring Book,0,0,0,1,1,1,1
FuriousAlphaGymClub,0,0,0,1,1,1,1
OnChainMonkey,0,0,1,1,1,1,1
Outkast,0,0,1,1,1,1,1
TheWickedCraniums,0,0,1,1,1,1,1
